time,open,high,low,close,ma5h,ma5l,ma10h,ma10l,ma50,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,trend,trendbbl,trendbbm,trendbbmdir,trendbbu,extremeSellD,extremeBuyD,extremeSellA,extremeBuyA,extremeSellB,extremeBuyB,extremeSellAll,extremeBuyAll,extremeSell,extremeBuy,tpwSell,tpwBuy,MHVSell,MHVBuy,CSASell,CSABuy,CSAKSell,CSAKBuy,momentumSell,momentumBuy,reEntySell,reEntyBuy
2013-02-01,1.36115,1.37108,1.3586,1.36391,1.361674,1.351938,1.354938,1.3460818181818184,,1.318145778091951,1.339621,1.361096221908049,3.2061638191770596,1.065512200618901,0,0.005898547568401247,0.0058419301738887874,0.0058419301738887874,0.0025063886014489167,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-02-03,1.36521,1.36571,1.36449,1.36449,1.3643266666666667,1.3571220000000002,1.357875818181818,1.3504110909090907,,1.3182416279958795,1.3414845000000002,1.3647273720041209,3.465246449604251,0.9948936602137894,0,0.003716108419643316,0.005563857672747696,0.005563857672747696,0.003458176452266759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-04,1.36448,1.36486,1.34988,1.35104,1.365492,1.3559659999999998,1.3601392727272728,1.3513965454545456,,1.3189755458692485,1.3423245,1.3656734541307514,3.4788837022272103,0.6866357685914818,0,0.00062945573062545,0.004209217106971419,0.004209217106971419,0.0033610518452003024,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-05,1.35103,1.35972,1.34577,1.35825,1.363932,1.352874666666667,1.3609329090909092,1.3512105454545456,,1.319316326903776,1.3434475000000001,1.3675786730962243,3.592425174221418,0.8067090841579518,0,0.0008151079924996196,0.002853845496313845,0.002853845496313845,0.00208831543472332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-02-06,1.35825,1.35957,1.34951,1.35218,1.362254,1.35119,1.3613270909090909,1.351392181818182,,1.3199060678316301,1.344172,1.3684379321683697,3.6105397476468504,0.665004994336016,0,0.0007053729195256597,0.0020020646038356738,0.0020020646038356738,0.002023383384293087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-07,1.35216,1.35769,1.33706,1.33827,1.3600880000000002,1.3456599999999999,1.3611669090909089,1.3490458181818181,,1.3208788583258348,1.3445414999999998,1.3682041416741648,3.5198083025574127,0.3674809836036391,-1,0.0011840198914607747,0.0016507830437488824,0.0016507830437488824,0.0007991516597274373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-08,1.33826,1.34288,1.33531,1.33662,1.3538780000000001,1.3409826666666664,1.3581212727272727,1.3465312727272727,,1.3221461433086434,1.3449499999999999,1.3677538566913563,3.391034118942181,0.3173554562996936,-4,0.001696440535798427,0.0011179956504985267,0.0011179956504985267,0.0004999513700404412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-10,1.33673,1.3374,1.33635,1.3366,1.3473633333333335,1.338597333333333,1.354166,1.3443354545454544,,1.3220528873045054,1.344911,1.3677691126954945,3.3992007940294244,0.31820458865709195,-6,0.0010299594031155657,0.0006077088186469126,0.0005497140976538084,0.0003402606345580539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-11,1.33658,1.34273,1.3357,1.34016,1.344456,1.3368973333333334,1.3514030909090908,1.3421132727272729,,1.3231495239917639,1.345329,1.367508476008236,3.2972568060654472,0.3834733517130764,-8,0.000900029132814284,0.0006436196380117387,0.0005856249170186345,0.00020171011247593906,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-12,1.34016,1.34753,1.33635,1.34521,1.3442813333333334,1.3360853333333333,1.3498032727272729,1.340236,,1.3247106707301024,1.3460014999999999,1.3672923292698973,3.1635669454896522,0.48141218479641573,-8,0.002009367068794843,0.0008396763207481062,0.000781681599755002,0.00034861484814319166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-13,1.34519,1.35196,1.34262,1.34444,1.346386,1.3382406666666666,1.3492656363636364,1.3398210909090909,,1.3265102434805953,1.346676,1.3668417565194046,2.9948935778768857,0.4445594813701064,-8,0.002538336495700788,0.0013117928148795865,0.0013117928148795865,0.0004875953083822715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
