time,open,high,low,close
2014-03-16,1.39065,1.39173,1.39027,1.3909
2014-03-17,1.39091,1.39475,1.38791,1.39253
2014-03-18,1.39251,1.39425,1.38799,1.39292
2014-03-19,1.39293,1.39324,1.38097,1.38181
2014-03-20,1.3818,1.38448,1.37494,1.37786
2014-03-21,1.37787,1.38106,1.37657,1.37919
2014-03-23,1.37968,1.38063,1.37881,1.37969
2014-03-24,1.37968,1.38754,1.37604,1.38362
2014-03-25,1.38364,1.38469,1.37491,1.38199
2014-03-26,1.382,1.38233,1.37766,1.37856
2014-03-27,1.37855,1.37968,1.37286,1.37405
2014-03-28,1.37406,1.3773,1.37048,1.37504
2014-03-30,1.37612,1.37636,1.37451,1.37531
2014-03-31,1.3753,1.38067,1.37216,1.3774
2014-04-01,1.37739,1.38155,1.37692,1.37933
2014-04-02,1.37933,1.38202,1.37532,1.37665
2014-04-03,1.37666,1.38064,1.36982,1.37227
2014-04-04,1.37227,1.37308,1.36728,1.37016
2014-04-06,1.36964,1.37041,1.36943,1.37036
2014-04-07,1.37036,1.37486,1.36972,1.3742
2014-04-08,1.3742,1.38115,1.37374,1.37929
2014-04-09,1.3793,1.38619,1.37799,1.38523
2014-04-10,1.38523,1.3899,1.3836,1.38865
2014-04-11,1.38866,1.39056,1.38635,1.38843
2014-04-13,1.38433,1.38606,1.38416,1.3847
2014-04-14,1.38471,1.3863,1.38081,1.38155
2014-04-15,1.38153,1.38331,1.37903,1.3811
2014-04-16,1.38111,1.38508,1.38037,1.38237
2014-04-17,1.38236,1.38645,1.38105,1.38105
2014-04-18,1.38105,1.38223,1.38077,1.38077
2014-04-20,1.38121,1.38173,1.38106,1.38141
2014-04-21,1.38142,1.38304,1.37871,1.37916
2014-04-22,1.37916,1.38248,1.3785,1.38069
2014-04-23,1.3807,1.38546,1.38003,1.3817
2014-04-24,1.3817,1.38429,1.37914,1.38303
2014-04-25,1.38304,1.38482,1.38267,1.38329
2014-04-27,1.38447,1.38447,1.38357,1.3839
2014-04-28,1.38389,1.38794,1.38147,1.38518
2014-04-29,1.38518,1.38791,1.38055,1.3813
2014-04-30,1.38129,1.38765,1.3775,1.38678
2014-05-01,1.3868,1.38892,1.38628,1.38699
2014-05-02,1.38698,1.38813,1.38122,1.38706
2014-05-04,1.38818,1.38838,1.3871,1.38717
2014-05-05,1.38716,1.3886,1.38645,1.38746
2014-05-06,1.38746,1.39512,1.38721,1.39291
2014-05-07,1.39291,1.39385,1.39092,1.39105
2014-05-08,1.39105,1.39933,1.38331,1.38425
2014-05-09,1.38427,1.38437,1.37451,1.37553
2014-05-11,1.37526,1.3761,1.37522,1.37603
2014-05-12,1.37603,1.37748,1.37494,1.37554
2014-05-13,1.37555,1.37714,1.36891,1.37078
2014-05-14,1.37077,1.37308,1.36979,1.37176
2014-05-15,1.37175,1.37322,1.36484,1.37169
2014-05-16,1.37169,1.37268,1.36853,1.36926
2014-05-18,1.36927,1.37029,1.36926,1.37029
2014-05-19,1.37029,1.37341,1.36986,1.37124
2014-05-20,1.37124,1.37138,1.3678,1.37033
2014-05-21,1.37033,1.37231,1.36345,1.36817
2014-05-22,1.36819,1.3687,1.36452,1.36533
2014-05-23,1.36532,1.36534,1.36156,1.36275
2014-05-25,1.36233,1.36307,1.36145,1.36275
2014-05-26,1.36275,1.36544,1.36155,1.36518
2014-05-27,1.36519,1.36685,1.36125,1.36336
2014-05-28,1.36337,1.36378,1.35885,1.35919
2014-05-29,1.35919,1.36255,1.35862,1.36026
2014-05-30,1.36027,1.365,1.35984,1.3632
2014-06-01,1.36359,1.36373,1.36221,1.36287
2014-06-02,1.36287,1.36361,1.35881,1.35965
2014-06-03,1.35965,1.36478,1.35875,1.36208
2014-06-04,1.36208,1.36387,1.35965,1.36025
2014-06-05,1.36024,1.36698,1.3503,1.36603
2014-06-06,1.36603,1.36765,1.3621,1.36418
2014-06-08,1.36432,1.36484,1.36426,1.36477
2014-06-09,1.36476,1.36687,1.35826,1.35923
2014-06-10,1.35925,1.36018,1.35335,1.35392
2014-06-11,1.35391,1.35571,1.35215,1.35357
2014-06-12,1.35359,1.35719,1.35123,1.35505
2014-06-13,1.35505,1.3579,1.3521,1.35354
2014-06-15,1.35406,1.35407,1.3531,1.35359
2014-06-16,1.35359,1.35794,1.3513,1.35757
2014-06-17,1.35757,1.3587,1.35364,1.35487
2014-06-18,1.35489,1.35993,1.35417,1.35895
2014-06-19,1.35896,1.36434,1.35848,1.36101
2014-06-20,1.361,1.36339,1.35643,1.35992
2014-06-22,1.35888,1.35964,1.35888,1.3591
2014-06-23,1.3591,1.36135,1.35741,1.36
2014-06-24,1.36002,1.36277,1.35834,1.36058
2014-06-25,1.36059,1.36511,1.36005,1.36278
2014-06-26,1.36279,1.36413,1.35762,1.36114
2014-06-27,1.36114,1.36505,1.361,1.36482
2014-06-29,1.36435,1.36477,1.36425,1.36434
2014-06-30,1.36434,1.36977,1.36402,1.3692
2014-07-01,1.36913,1.37004,1.36755,1.36802
2014-07-02,1.36802,1.36812,1.364,1.36531
2014-07-03,1.36531,1.36642,1.3596,1.36088
2014-07-04,1.36086,1.36112,1.35855,1.35944
2014-07-06,1.35945,1.35966,1.3584,1.3588
2014-07-07,1.35881,1.36091,1.35759,1.36058
2014-07-08,1.36058,1.36173,1.35882,1.36167
2014-07-09,1.36166,1.36483,1.36022,1.36432
2014-07-10,1.36433,1.36507,1.35891,1.36042
2014-07-11,1.36041,1.36247,1.35919,1.36054
2014-07-13,1.35989,1.36076,1.35989,1.36022
2014-07-14,1.36023,1.36402,1.35974,1.36217
2014-07-15,1.36217,1.36281,1.3562,1.35706
2014-07-16,1.35705,1.35711,1.3521,1.35281
2014-07-17,1.35281,1.35401,1.35127,1.35186
2014-07-18,1.35186,1.3536,1.3491,1.35231
2014-07-20,1.35283,1.35319,1.35247,1.35303
2014-07-21,1.35304,1.3549,1.3513,1.35221
2014-07-22,1.35222,1.35296,1.3459,1.34667
2014-07-23,1.34668,1.34741,1.34549,1.3461
2014-07-24,1.3461,1.34849,1.34382,1.34652
2014-07-25,1.34652,1.34756,1.34214,1.34285
2014-07-27,1.34305,1.34343,1.34272,1.34287
2014-07-28,1.34288,1.34438,1.34269,1.34373
2014-07-29,1.34374,1.34445,1.34042,1.34098
2014-07-30,1.341,1.34154,1.33669,1.33945
2014-07-31,1.33946,1.34006,1.33716,1.3389
2014-08-01,1.33889,1.34447,1.33785,1.34262
2014-08-03,1.343,1.34329,1.34231,1.3428
2014-08-04,1.34281,1.34311,1.34094,1.34216
2014-08-05,1.34216,1.34248,1.33582,1.33714
2014-08-06,1.33714,1.33878,1.3333,1.33796
2014-08-07,1.33797,1.33936,1.33371,1.33572
2014-08-08,1.33572,1.34324,1.33435,1.34085
2014-08-10,1.34077,1.34113,1.34032,1.34043
2014-08-11,1.34042,1.34084,1.33803,1.33822
2014-08-12,1.33821,1.3383,1.3336,1.33648
2014-08-13,1.33648,1.34151,1.33423,1.33657
2014-08-14,1.33657,1.34077,1.33484,1.33613
2014-08-15,1.33613,1.34117,1.33587,1.33976
2014-08-17,1.33908,1.33984,1.3388,1.33895
2014-08-18,1.33895,1.33991,1.33529,1.336
2014-08-19,1.336,1.33605,1.33133,1.33203
2014-08-20,1.33203,1.33217,1.32553,1.3259
2014-08-21,1.32591,1.32884,1.32417,1.32785
